branch,subdomain,k,abs_coeff,normalized_abs_coeff,real_coeff,imag_coeff
up,outer,126,6.8977656626510143e-14,6.8983857745388730e-14,-8.9348458304575176e-16,6.8971869620770745e-14
up,outer,127,4.8481765858971249e-14,4.8486124389084318e-14,-1.8002087544643350e-15,4.8448331955233092e-14
up,outer,128,3.6601628479492365e-14,3.6604918980510403e-14,-1.9213490154261637e-14,3.1153186088149595e-14
up,outer,129,5.0901244211082208e-14,5.0905820253265405e-14,-3.3796620617779531e-14,3.8062121552195560e-14
up,outer,130,5.8411093883005698e-14,5.8416345063673634e-14,-2.0743992056252490e-14,5.4603504303107139e-14
up,outer,131,5.2553320674440186e-14,5.2558045238957237e-14,8.5241448377830054e-15,5.1857405148108205e-14
up,outer,132,3.9146575369813373e-14,3.9150094662573234e-14,1.9529859596091607e-14,3.3926964900229843e-14
up,outer,133,2.9386666694013226e-14,2.9389308567085283e-14,5.2080157046973754e-15,2.8921492904147456e-14
up,outer,134,4.0677456910013229e-14,4.0681113829634947e-14,-7.3019299225288726e-15,4.0016713009347239e-14
up,outer,135,4.7028493430210838e-14,4.7032721310552159e-14,2.4368264484386043e-16,4.7027862093486514e-14
